NOME,ARTISTA,GENERO,ALBUM,ANO LANCAMENTO
Get Around (Roni Size Remix),Michael Woods feat. Sam Obernik,"Eletrônica, Drum and Bass",,2015
Ghetto (feat. Thara),Fabolous,"Hip Hop, R&B",Real Talk,2004
Murder Music,Chase & Status,"Drum and Bass, Jungle",RTRN II JUNGLE,2019
Give It All,Rise Against,"Hardcore Punk, Punk Rock",Siren Song of the Counter Culture,2004
Invisible,Duran Duran,"Pop, Rock Eletrônico",Future Past,2021
Riders on the Storm (Fredwreck Remix),Snoop Dogg & The Doors,"Hip Hop, Rock Psicodélico",Need for Speed: Underground 2 Soundtrack,2004
Break the Rules,Simon Viklund,"Eletrônica, Video Game Music",PAYDAY 2: Official Soundtrack,2016
Burning Desire (New Generation Mix),Mega NRG Man,"Eurobeat, Eletrônica",Super Eurobeat presents Initial D,"1999 (Original), 2000 (Remix)"
"Forever Young""",Symbol,"Eurobeat, Eletrônica",Super Eurobeat Vol. 145,2004
You'll Be Under My Wheels,The Prodigy,"Eletrônica, Big Beat","Always Outnumbered, Never Outgunne",2004
Shapeshifter,Celldweller feat. Styles of Beyond,"Eletrônica, Rap Rock",Need for Speed: Most Wanted Soundtrack,2005
Eu Amo Você,Tim Maia,R&B/soul,Tim Maia,1970
Valsinha,Chico Buarque,MPB,Construção,1971
Mania de Você,Rita Lee,Rock,Rita Lee,1979
Me Adora,Pitty,Pop,Chiaroscuro,2009
Aliança,Tribalistas,MPB,Tribalistas,2017
Lose my breath,Stray Kids,K-Pop,Lose My Breath,2024
I Like it,Stray Kids,K-pop,ATE,2024
Chk Chk Boom,Stray Kids,Hip-Hop/rap,ATE,2024
Mountains,Stray Kids,K-Pop,ATE,2024
Bounce Back,Stray Kids,Hip-Hop,HOP,2024
Walkin On Water,Stray Kids,Korean Dance,HOP,2024
Cheese,Stray Kids,K-Pop,Noeasy,2021
Giant,Stray Kids,R&B/soul,Giant,2024
BOUNCY (K-HOT CHILLI PEPPERS),Ateez,Hip-Hop/rap,The World EP.2: Outlaw,2023
Taste,Stray Kids,K-Pop,Maxident,2022
Silver Spoon,BTS,K-Pop,The Most Beautiful Moment in Life pt.2,2015
JJAM,Stray Kids,K-Pop,ATE,2024
Runners,Stray Kids,K-Pop,ATE,2024
Stray Kids,Stray Kids,K-Pop,ATE,2024
WHY?,Stray Kids,K-Pop,Giant,2024
Enquanto Houver Razões,Jorge e Mateus,Sertanejo Áxe,A hora é agora,2012
Na hora da raiva,Henrique & Juliano,Sertanejo,Novas Histórias,2016
Quatro e Quinze,Marília Mendonça,Sertanejo,Marília Mendonça - Ao Vivo,2016
Menina Veneno,Ritchie,Pop rock# MPB,Voo de Coração,1983
Girls Just Want to Have Fun,Cyndi Lauper,Música contemporânea para adultos,She's So Unusual,1983
Billie Jean,Michael Jackson,Rhythm and blues# Dance-pop# Disco# Pop dance# Rock clássico,Thriller,1983
Locked Out of Heaven,Bruno Mars,Pop rock# Reggae# Reggae rock# R&B/soul# Pop,Unorthodox Jukebox,2012
Die with a smile,Bruno Mars# Lady Gaga,Pop,Die With A Smile,2024
One Of The Girls,The Weeknd# JENNIE & Lily Rose Depp,R&B contemporâneo# R&B/soul# Pop# Hip-Hop/rap,The Highlights,2021
Die For You,The Weeknd# Ariana Grande,R&B/soul# Alternativa/indie# Eletropop# Dance/eletrônica etc,Starboy,2016
Mirrors,Justin Timberlake,Música pop# Rhythm and blues# R&B contemporâneo# Soul progressivo# Pop dance,The 20/20 Experience,2013
Mina do condomínio,Seu Jorge,MPB# Samba e Pagode# Música regional brasileira# Pop,Álbum: América Brasil,2008
Não Precisa,Paula Fernandes# Victor & Leo,Música sertaneja,Ao Vivo,2010
Planos Impossíveis,Jads & Jadson,Música sertaneja,,2013
Jeito Carinhoso,Jeito Carinhoso,Música sertaneja,,2013
Positions,Ariana Grande,R&B/soul# Pop,Positions,2020
Skyfall,Adele,Gêneros: Soul# Pop orquestral,Álbum: Skyfall – Original Motion Picture Soundtrack,2012
Amo noite e dia,Jorge & Mateus,Sertanejo,Aí Já Era,2010
Romance,Humberto & Ronaldo,Sertanejo,Romance,2011
Don't Matter,Akon,Gêneros: Reggae# R&B/soul# Alternativa/indie# Korean Dance# Pop# Pop coreano# Hip-Hop/rap,Afrobeats,2007
Do Fundo da Grota,Baitaca,Música nativista# Música regional brasileira,Meu Rio Grande É Desse Jeito,2001
Wait and Bleed,Slipknot,Nu Metal,Slipknot,1999
Duality,Slipknot,Nu Metal,Vol. 3: (The Subliminal Verses),2004
Psychosocial,Slipknot,Nu Metal,All Hope Is Gone,2008
Before I Forget,Slipknot,Nu Metal,Vol. 3: (The Subliminal Verses),2004
The Devil In I,Slipknot,Heavy Metal,5: The Gray Chapter,2014
Snuff,Slipknot,Alternative Metal,All Hope Is Gone,2008
People = Shit,Slipknot,Nu Metal,Iowa,2001
Spit It Out,Slipknot,Nu Metal,Slipknot,1999
Vermilion,Slipknot,Heavy Metal,Vol. 3: (The Subliminal Verses),2004
Left Behind,Slipknot,Nu Metal,Iowa,2001
All Out Life,Slipknot,Heavy Metal,Single,2018
My Plague,Slipknot,Nu Metal,Iowa,2001
The Heretic Anthem,Slipknot,Nu Metal,Iowa,2001
Custer,Slipknot,Nu Metal,5: The Gray Chapter,2014
Scream,Slipknot,Nu Metal,All Hope Is Gone,2008
Bother,Slipknot,Alternative Metal,Iowa,2001
Prosthetics,Slipknot,Nu Metal,Slipknot,1999
Pulse of the Maggots,Slipknot,Nu Metal,Vol. 3: (The Subliminal Verses),2004
The Negative One,Slipknot,Heavy Metal,5: The Gray Chapter,2014
Unsainted,Slipknot,Heavy Metal,We Are Not Your Kind,2019
